tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0000001	short	Carmencita	Carmencita	0	1894	\N	1	Documentary,Short
tt28642224	movie	Larry Mahoney	Larry Mahoney	0	1996	\N	\N	\N
tt0154506	movie	Following	Following	0	1998	\N	69	Crime,Mystery,Thriller
tt0209144	movie	Memento	Memento	0	2000	\N	113	Mystery,Thriller
tt0278504	movie	Insomnia	Insomnia	0	2002	\N	118	Drama,Mystery,Thriller
tt0372784	movie	Batman Begins	Batman Begins	0	2005	\N	140	Action,Drama
tt0482571	movie	The Prestige	The Prestige	0	2006	\N	130	Drama,Mystery,Sci-Fi
tt0468569	movie	The Dark Knight	The Dark Knight	0	2008	\N	152	Action,Crime,Drama
tt1375666	movie	Inception	Inception	0	2010	\N	148	Action,Adventure,Sci-Fi
tt1345836	movie	The Dark Knight Rises	The Dark Knight Rises	0	2012	\N	164	Action,Drama,Thriller
tt0816692	movie	Interstellar	Interstellar	0	2014	\N	169	Adventure,Drama,Sci-Fi
tt5013056	movie	Dunkirk	Dunkirk	0	2017	\N	106	Action,Drama,History
tt6723592	movie	Tenet	Tenet	0	2020	\N	150	Action,Sci-Fi,Thriller
tt15398776	movie	Oppenheimer	Oppenheimer	0	2023	\N	180	Biography,Drama,History
tt33764258	movie	The Odyssey	The Odyssey	0	2026	\N	\N	Action,Adventure,Fantasy
