tconst	directors	writers
tt28642224	nm0634240	\N
tt0154506	nm0634240	nm0634240
tt0209144	nm0634240	nm0634240,nm0634300
tt0278504	nm0634240	nm0782711,nm0296154,nm0804408
tt0372784	nm0634240	nm0004170,nm0275286,nm0634240
tt0482571	nm0634240	nm0634300,nm0634240,nm1793993
tt0468569	nm0634240	nm0634300,nm0634240,nm0275286,nm0004170
tt1375666	nm0634240	nm0634240
tt1345836	nm0634240	nm0634300,nm0634240,nm0275286,nm0004170
tt0816692	nm0634240	nm0634300,nm0634240
tt5013056	nm0634240	nm0634240
tt6723592	nm0634240	nm0634240
tt15398776	nm0634240	nm0634240,nm3284831,nm2452558
tt33764258	nm0634240	nm0392955,nm0634240
